name	version	license
sentence-transformers	6.0.0	Apache-2.0
setuptools	79.0.1	MIT
shapely	2.1.2	BSD 3-Clause
shellingham	1.5.4	ISC License
simsimd	6.5.16	Apache-2.0
six	1.17.0	MIT
slowapi	0.1.9	MIT
sniffio	1.3.1	MIT OR Apache-2.0
soupsieve	2.9.2	MIT License
SQLAlchemy	2.0.52	MIT
sse-starlette	3.4.8	BSD-3-Clause
starlette	1.3.1	BSD-3-Clause
stringzilla	5.1.2	Apache-2.0
striprtf	0.0.26	BSD-3-Clause
structlog	25.5.0	Apache Software License
sympy	1.14.0	BSD
tabulate	0.10.0	MIT
tenacity	9.1.4	Apache 2.0
termcolor	3.3.0	MIT
threadpoolctl	3.6.0	BSD-3-Clause
tifffile	2026.3.3	BSD-3-Clause
tiktoken	0.12.0	MIT License
tokenizers	0.23.1	Apache Software License
tqdm	4.70.0	MPL-2.0 AND MIT
transformers	5.16.1	Apache 2.0 License
tree-sitter	0.25.2	MIT License
tree-sitter-c-sharp	0.23.1	MIT
tree-sitter-embedded-template	0.25.0	MIT
tree-sitter-language-pack	0.13.0	MIT OR Apache-2.0
tree-sitter-languages	1.10.2	Apache 2.0
tree-sitter-yaml	0.7.2	MIT
triton	3.7.1	MIT License
truststore	0.10.4	MIT
typer	0.27.2	MIT
typing-inspection	0.4.4	MIT
typing_extensions	4.16.0	PSF-2.0
tzdata	2026.3	Apache-2.0
tzlocal	5.4.4	MIT
urllib3	2.7.0	MIT
uvicorn	0.46.0	BSD-3-Clause
uvloop	0.22.1	MIT License
watchfiles	1.2.0	MIT
websockets	16.1.1	BSD-3-Clause
wheel	0.45.1	MIT License
wrapt	2.3.0	BSD-2-Clause
xlrd	2.0.2	BSD
xlsxwriter	3.2.9	BSD-2-Clause
yarl	1.24.5	Apache-2.0
